start	end	text
229	3090	You've seen me do it, like a hundred times!
6371	7351	You can't dodge them all!
16014	17234	He's turning!
17874	18914	Oh shit, he's turning!
19455	20695	He just growled at us!
29901	57809	He just turned and growled Okay, I need to get my bearings Okay, we're good Okay, I'm gonna beat a fist
65691	71636	I can't laugh at too hard.
71716	72697	Of course I know.
73038	74599	The horse has to dodge.
75120	81726	I've pressed it probably 5,000 times in the course of the last two weeks.
82726	83547	I'm gonna die.
119980	120960	That was really funny.
122640	124661	I would like to continue to play the game.
125201	126101	That would be swell.
131962	133042	Everyone, you growled at us?
133062	145345	I need to see it.
146185	146885	I have to see it.
151334	152094	I need to see it.
154856	155256	Is this it?
156236	156637	Hold on.
157177	157817	We need to watch this.
157897	160999	I need to examine this because I- I don't know what the fuck- I don't know what the fuck happened.
165181	170723	Holy fucking god, I look like a weirdo.
177526	178627	Oh my god, dude.
184453	185614	Why does it sound so weird?
186295	187776	Why does it sound so weird?
192139	195061	What's wrong with this?
195341	196342	Is that what I sound like?
202806	204608	Why do I sound like a fucking cave troll?
215828	216769	It doesn't sound much better.
216789	223033	He's like, he's turning.
223533	224694	Oh shit, he's turning.
225274	226535	He just growled at us.
231038	234240	Oh my fucking god, dude.
240404	242986	Somebody said, Tim the tool man.
253274	258315	Honestly, man, if somebody asks you, if somebody says, hey dude, do you know there's a dodge in the game?
258335	259955	It's like, bro.
262016	262616	Yes.
272218	274298	They're a fundamental part of the whole game.
274318	274358	Oh.
288869	289159	Alright.
